150	6	5	3	2	2	0	2	1	0	1	1	0	4	3	0	5	6	4	0	0	0	0	0	0	0	18
151	6	6	3	2	2	0	2	1	0	0	2	0	4	3	0	0	12	12	16	0	0	0	0	0	0	19
152	4	4	4	2	2	0	2	0	3	0	0	0	4	0	12	0	0	8	12	12	0	30	0	0	0	16
153	5	4	4	2	2	0	2	0	2	1	0	0	4	0	8	5	0	8	12	0	0	0	0	0	0	17
154	6	4	4	2	2	0	2	0	2	0	1	0	4	0	8	0	6	8	12	0	0	0	0	0	0	18
155	5	5	4	2	2	0	2	0	1	2	0	0	4	0	4	10	0	10	14	0	0	0	0	0	0	18
156	6	5	4	2	2	0	2	0	1	1	1	0	4	0	4	5	6	4	0	0	0	0	0	0	0	19
157	6	6	4	2	2	0	2	0	1	0	2	0	4	0	4	0	12	12	16	0	0	0	0	0	0	20
158	5	5	5	2	2	0	2	0	0	3	0	0	4	0	0	15	0	10	14	15	0	30	0	0	0	19
159	6	5	5	2	2	0	2	0	0	2	1	0	4	0	0	10	6	10	14	0	0	0	0	0	0	20
160	6	6	5	2	2	0	2	0	0	1	2	0	4	0	0	5	12	12	16	0	0	0	0	0	0	21
161	6	6	6	2	2	0	2	0	0	0	3	0	4	0	0	0	18	12	16	18	0	30	0	0	0	22
162	3	3	3	3	2	0	1	4	0	0	0	0	2	12	0	0	0	6	0	9	12	0	0	0	0	14
163	4	3	3	3	2	0	1	3	1	0	0	0	2	9	4	0	0	6	0	9	0	0	0	0	0	15
164	5	3	3	3	2	0	1	3	0	1	0	0	2	9	0	5	0	6	0	9	0	0	0	0	0	16
165	6	3	3	3	2	0	1	3	0	0	1	0	2	9	0	0	6	6	0	9	0	0	0	0	0	17
166	4	4	3	3	2	0	1	2	2	0	0	0	2	6	8	0	0	8	14	0	0	0	0	0	0	16
167	5	4	3	3	2	0	1	2	1	1	0	0	2	6	4	5	0	6	0	0	0	0	25	0	0	17
168	6	4	3	3	2	0	1	2	1	0	1	0	2	6	4	0	6	6	0	0	0	0	0	0	0	18
169	5	5	3	3	2	0	1	2	0	2	0	0	2	6	0	10	0	10	16	0	0	0	0	0	0	18
170	6	5	3	3	2	0	1	2	0	1	1	0	2	6	0	5	6	6	0	0	0	0	0	0	0	19
171	6	6	3	3	2	0	1	2	0	0	2	0	2	6	0	0	12	12	18	0	0	0	0	0	0	20
172	4	4	4	3	2	0	1	1	3	0	0	0	2	3	12	0	0	8	0	12	0	0	0	0	0	17
173	5	4	4	3	2	0	1	1	2	1	0	0	2	3	8	5	0	8	0	0	0	0	25	0	0	18
174	6	4	4	3	2	0	1	1	2	0	1	0	2	3	8	0	6	8	0	0	0	0	0	0	0	19
175	5	5	4	3	2	0	1	1	1	2	0	0	2	3	4	10	0	10	0	0	0	0	25	0	0	19
176	6	5	4	3	2	0	1	1	1	1	1	0	2	3	4	5	6	0	0	0	0	0	25	40	0	20
177	6	6	4	3	2	0	1	1	1	0	2	0	2	3	4	0	12	12	0	0	0	0	0	0	0	21
178	5	5	5	3	2	0	1	1	0	3	0	0	2	3	0	15	0	10	0	15	0	0	0	0	0	20
179	6	5	5	3	2	0	1	1	0	2	1	0	2	3	0	10	6	10	0	0	0	0	0	0	0	21
180	6	6	5	3	2	0	1	1	0	1	2	0	2	3	0	5	12	12	0	0	0	0	0	0	0	22
181	6	6	6	3	2	0	1	1	0	0	3	0	2	3	0	0	18	12	0	18	0	0	0	0	0	23
182	4	4	4	4	2	0	1	0	4	0	0	0	2	0	16	0	0	8	0	12	16	0	0	0	0	18
183	5	4	4	4	2	0	1	0	3	1	0	0	2	0	12	5	0	8	0	12	0	0	0	0	0	19
184	6	4	4	4	2	0	1	0	3	0	1	0	2	0	12	0	6	8	0	12	0	0	0	0	0	20
